study_hours,attendance,previous_score,assignment_score,sleep_hours,final_score
1.2,41.4,57.8,33.6,8.9,30.8
3.9,88.9,97.9,64.7,4.7,65.9
1.6,56.9,90.6,71.8,6.5,57.3
8.7,47.1,87.2,53.4,7.1,67.0
6.4,81.8,48.1,84.0,7.5,63.7
3.6,77.7,42.0,37.5,6.8,42.7
1.1,92.6,76.8,35.3,4.0,40.0
3.5,84.1,95.1,81.0,5.6,59.8
3.6,88.2,69.0,64.7,6.6,50.9
7.4,56.9,70.0,78.2,4.4,65.4
6.6,50.6,49.6,60.4,5.8,51.3
8.9,85.0,83.9,47.2,4.2,75.3
5.0,88.4,43.1,87.3,4.4,51.3
1.6,99.4,52.7,86.0,6.0,53.6
7.3,64.8,59.8,78.6,4.7,68.8
7.7,62.3,65.5,49.1,6.8,53.3
5.8,86.6,47.0,71.3,7.4,63.3
7.8,60.4,38.0,55.3,8.0,65.4
5.2,95.8,72.7,36.4,5.0,53.8
5.5,91.5,50.2,94.2,4.8,72.5
4.6,65.7,70.7,39.6,4.5,53.7
0.7,85.1,40.8,96.5,7.2,42.2
1.5,85.3,63.7,61.2,7.5,47.7
0.8,46.2,67.3,43.0,4.2,36.8
6.5,94.2,33.6,67.9,8.7,63.2
3.5,70.3,53.6,91.1,4.3,55.5
5.3,89.6,39.4,81.3,6.7,55.3
9.1,59.2,34.4,86.5,7.5,68.1
2.9,93.7,99.3,76.1,8.4,57.3
4.4,63.4,52.6,78.5,7.6,53.6
7.7,40.7,86.7,89.4,8.0,65.3
2.7,94.3,47.8,47.5,5.7,44.2
1.2,45.5,77.7,64.3,8.1,48.7
3.3,59.2,83.2,45.5,4.4,54.5
2.0,97.0,71.7,99.1,8.5,62.9
9.3,97.0,63.0,96.1,6.7,76.9
8.2,74.4,58.8,32.8,8.1,62.7
6.5,77.9,54.4,79.4,6.3,70.3
8.8,66.9,95.1,94.8,7.2,81.7
8.1,57.6,88.1,42.6,6.6,78.8
2.3,59.7,97.6,69.8,7.7,55.8
9.0,80.4,38.7,94.1,4.4,72.6
5.6,85.1,81.2,32.4,4.3,58.3
8.2,87.5,95.7,78.8,5.2,80.4
9.0,87.4,42.7,50.8,4.8,66.8
3.5,45.5,34.7,94.7,8.4,50.2
1.5,69.7,81.9,98.0,5.1,57.6
2.7,43.5,70.2,96.1,8.9,47.1
4.6,73.0,88.9,63.2,5.7,54.2
8.3,66.5,39.8,90.3,4.9,57.1
8.7,93.3,85.7,89.1,7.9,86.1
0.6,61.1,44.1,52.3,7.3,29.1
5.4,47.0,41.5,88.0,6.5,42.3
4.5,48.6,41.5,32.6,6.8,44.0
2.6,85.7,87.0,71.7,7.6,70.7
1.6,77.1,76.6,46.1,5.1,45.8
3.7,46.1,66.6,38.4,9.0,49.9
9.5,45.0,55.1,35.4,8.9,63.4
3.6,82.1,91.4,78.7,7.3,62.3
5.4,44.4,57.5,53.8,5.0,54.4
7.2,89.3,87.2,80.7,7.4,74.9
4.0,82.4,60.7,34.6,4.4,51.3
9.7,44.9,56.4,52.1,4.2,65.7
9.6,45.1,62.4,67.8,5.3,64.6
2.9,99.2,51.1,85.4,6.3,61.1
5.2,62.5,82.3,52.3,8.3,58.3
3.4,62.2,65.2,73.8,7.6,48.5
3.2,88.8,46.3,92.0,7.7,58.6
0.9,96.8,93.0,73.1,6.1,50.6
6.3,99.2,56.9,46.3,5.7,63.2
5.3,85.2,68.0,31.7,5.9,56.8
1.0,62.6,93.5,90.9,8.9,58.2
3.1,45.0,73.7,31.5,4.2,43.8
9.1,86.6,38.2,91.2,8.3,74.5
2.8,73.5,95.8,67.0,6.9,61.2
1.9,65.5,73.9,95.7,6.2,58.9
5.1,94.4,53.4,85.9,7.6,66.9
9.9,46.7,39.7,99.9,6.4,70.2
2.8,69.6,85.6,54.5,8.4,46.7
6.9,40.7,73.4,83.7,8.5,58.4
7.7,68.1,67.3,58.1,6.1,64.3
2.8,43.4,92.6,63.6,5.4,46.2
7.4,47.1,85.2,73.9,7.0,66.0
4.0,47.1,40.6,91.2,8.6,49.8
6.5,79.0,51.8,98.9,5.1,68.9
6.5,84.8,47.4,83.8,7.1,65.0
5.6,75.0,82.1,59.2,7.2,65.9
1.4,97.7,32.3,59.5,7.7,44.0
8.4,62.5,69.9,81.6,4.7,60.6
3.5,57.1,83.4,46.7,7.6,46.5
2.3,92.1,91.4,37.7,8.5,53.9
0.9,53.4,53.9,54.8,4.9,29.2
6.1,97.8,87.5,50.1,5.2,71.5
6.9,40.7,37.7,50.7,8.9,59.5
0.7,98.2,89.3,46.4,4.9,55.5
5.4,42.6,38.9,32.9,8.3,43.2
2.7,93.5,57.8,31.3,6.5,55.1
6.6,71.7,85.8,99.1,5.2,72.8
2.2,99.6,40.5,59.9,8.4,47.2
7.1,44.4,46.0,56.9,6.2,51.5
4.2,73.2,80.6,77.6,6.6,58.9
9.4,98.2,80.4,45.3,5.8,76.4
1.8,71.4,74.9,96.5,7.0,54.4
3.7,77.8,78.6,85.0,4.8,60.2
1.6,81.7,68.0,36.3,6.0,44.0
9.3,67.3,47.6,59.2,8.8,71.0
8.8,77.7,54.2,91.5,5.3,79.5
3.0,75.1,42.7,96.1,7.3,56.9
6.8,94.1,93.6,62.7,5.6,66.1
8.3,42.7,70.8,72.9,7.9,53.9
5.8,56.9,58.1,41.7,4.7,56.6
5.5,97.0,62.3,99.4,8.8,63.6
2.8,93.4,96.3,46.2,6.3,56.7
1.4,67.3,40.7,96.0,5.2,37.6
9.0,77.2,71.0,75.5,4.4,65.7
9.1,56.6,65.4,72.5,4.8,72.2
6.5,51.3,72.8,65.9,6.6,64.6
3.7,67.8,31.3,46.1,5.7,39.7
3.8,61.2,91.0,42.4,8.1,41.2
7.4,75.0,95.2,45.4,6.2,67.1
9.0,44.7,69.6,43.1,5.2,65.4
8.9,98.5,78.8,84.6,7.1,75.5
7.9,99.2,94.6,54.5,7.5,79.3
6.6,81.9,79.5,34.0,4.8,62.8
1.3,72.2,40.7,97.8,4.8,47.1
2.0,58.6,70.3,91.9,4.2,49.3
9.0,88.8,72.5,94.9,7.7,77.0
6.3,81.1,59.7,99.6,7.3,74.8
0.6,49.8,81.6,42.2,6.4,37.1
1.5,94.7,95.4,57.7,8.2,55.9
6.8,89.4,94.8,83.1,8.0,72.4
0.5,97.0,61.6,78.7,6.9,46.5
2.0,83.5,37.9,40.8,8.3,37.1
5.7,76.8,98.9,87.1,5.0,69.8
7.1,65.1,88.7,45.7,4.6,73.3
6.7,96.0,38.7,45.7,5.3,53.0
2.6,92.0,94.5,67.6,4.3,50.6
7.3,42.7,90.9,71.5,6.7,73.7
2.8,41.6,66.3,70.6,8.7,45.3
3.6,62.6,71.4,36.4,4.2,43.6
7.6,88.6,57.9,91.4,4.6,77.1
6.7,99.2,33.8,48.6,6.3,57.5
8.6,49.0,53.5,39.1,8.7,69.9
6.7,75.6,86.2,92.2,5.6,75.8
5.9,62.9,30.3,96.9,6.5,54.6
1.4,98.2,53.3,90.3,4.2,61.6
4.0,90.5,57.9,86.7,4.7,56.0
3.0,90.3,67.6,75.9,8.9,61.6
2.8,68.1,94.4,68.6,8.8,58.5
9.7,64.9,54.2,36.1,4.0,71.7
4.2,56.4,54.3,58.6,8.8,57.8
9.0,43.4,81.6,56.1,7.2,68.7
6.5,91.9,61.7,48.2,8.3,61.1
8.1,88.8,45.7,80.6,6.3,72.8
5.3,100.0,61.7,64.7,6.6,60.5
6.0,99.8,39.9,35.7,6.4,67.6
5.2,73.3,42.3,45.4,7.3,52.5
2.4,86.1,64.9,77.8,4.7,50.8
7.4,96.7,59.3,35.3,4.1,65.4
3.2,91.0,94.0,89.6,5.5,57.7
0.7,54.8,55.4,64.7,7.5,33.1
6.6,67.0,70.6,63.6,5.0,68.7
2.2,47.7,74.3,71.5,7.4,43.2
9.4,97.2,30.9,87.7,8.8,70.8
9.6,76.4,76.4,54.3,4.5,77.2
9.2,53.7,42.5,77.5,7.4,72.7
4.0,80.3,97.3,69.6,6.2,66.7
0.6,77.1,40.4,48.7,8.3,42.0
9.3,61.5,59.0,91.5,4.9,69.0
4.6,46.8,36.0,85.8,7.5,42.2
9.7,80.3,99.8,76.1,8.2,93.0
9.7,71.2,65.2,89.5,8.7,77.4
8.6,86.3,71.7,90.7,7.4,77.8
3.3,71.2,34.7,79.6,6.5,54.6
4.2,91.1,82.5,88.6,7.1,69.0
8.6,73.1,44.7,78.8,8.3,71.9
3.5,73.7,92.9,77.6,6.9,71.5
2.1,92.6,44.4,73.3,4.2,44.6
5.8,64.2,43.3,82.7,8.7,63.2
9.4,48.0,32.6,41.1,7.4,59.2
7.1,41.7,63.0,91.7,7.4,64.6
5.9,85.3,69.5,91.0,5.1,75.5
1.4,77.2,34.6,32.0,7.3,38.2
6.3,82.2,84.3,87.8,6.0,74.2
9.9,52.8,61.7,39.0,7.3,72.4
1.8,48.2,66.7,53.5,4.5,37.7
5.4,40.9,60.9,82.0,7.3,51.0
8.8,61.0,58.1,41.3,9.0,60.1
7.5,75.4,69.2,87.3,4.2,60.5
7.1,63.5,40.9,88.2,8.9,73.7
7.2,66.2,42.7,65.5,6.0,54.3
3.9,94.2,90.3,30.4,8.4,58.2
3.3,60.9,96.2,50.1,7.9,53.1
8.2,70.8,56.1,73.2,6.8,70.0
8.2,87.0,49.0,98.7,7.7,78.6
8.7,63.8,75.1,74.2,8.4,77.9
9.2,77.3,58.6,48.2,6.0,66.7
5.4,91.7,31.8,74.4,5.6,56.7
5.3,97.0,40.9,67.8,7.3,61.4
8.1,48.8,80.1,84.6,8.0,69.6
6.7,95.6,76.1,37.5,7.8,75.4
7.2,69.5,31.9,83.3,8.0,64.4
8.1,55.5,45.5,67.9,6.2,65.5
9.0,67.5,46.2,97.4,8.1,76.2
3.7,98.8,77.0,53.9,4.6,64.4
4.1,69.6,31.4,74.3,6.7,50.0
1.4,59.7,37.3,95.2,4.0,34.1
6.0,78.0,86.0,37.2,5.6,64.2
0.8,54.4,42.5,95.6,5.8,36.2
4.9,44.6,75.7,78.2,6.0,53.3
5.7,47.7,46.7,34.7,7.5,50.7
3.2,47.7,37.0,51.1,5.9,44.9
6.1,49.1,47.0,79.6,6.2,55.7
0.8,48.3,80.6,34.7,5.2,37.9
0.9,78.5,89.9,70.8,5.9,58.9
8.3,50.9,88.1,54.2,5.1,68.7
3.9,60.7,57.8,73.5,4.4,63.6
1.7,93.8,76.8,33.2,7.0,51.4
5.5,68.4,44.3,91.0,7.3,50.3
7.8,80.1,50.5,98.1,7.1,75.5
2.6,50.3,92.7,97.8,6.3,57.4
6.4,51.5,30.9,82.5,5.9,60.7
1.3,42.5,36.0,39.1,8.3,33.6
